Latitude,Longitude,Pays,Ville_Proche
-12.9795558,-39.2852404,Brazil,Valença
-13.0661249,-75.0593478,Peru,Huancavelica
-13.0878432,-75.0576408,Peru,Huancavelica
-13.1126239,-38.9067763,Brazil,Valença
-13.1579244,131.1059929,Australia,Adelaide River
-13.2511487,-72.2819529,Peru,Urubamba
-13.3701529,142.8799907,Australia,Weipa
-13.4931219,-172.7781253,Samoa,Asau
-13.5398383,-47.4916841,Brazil,Niquelândia
-13.5918724,-70.9459063,Peru,Sicuani
-13.6097176,-39.1032097,Brazil,Valença
-13.6248831,-49.2258526,Brazil,Niquelândia
-13.6432007,-40.4373372,Brazil,Jequié
-13.6651849,-57.8780084,Brazil,Barra do Bugres
-13.6714368,132.0094306,Australia,Pine Creek
-13.7222202,-75.4601247,Peru,Ica
-13.8166056,-56.0770031,Brazil,Barra do Bugres
-13.8443546,-52.0466848,Brazil,Barra do Garças
-13.8576898,-172.0611335,Samoa,Mulifanua
-13.894651,-171.6123059,Samoa,Lufilufi
-14.1385808,-39.7350956,Brazil,Ubaitaba
-14.1473188,-39.3301753,Brazil,Ubaitaba
-14.2890202,-43.6386102,Brazil,Guanambi
-14.504978,-43.0313055,Brazil,Guanambi
-14.5461945,-42.0600185,Brazil,Brumado
-14.606967,-73.6115742,Peru,Coracora
-14.6347378,-39.5582933,Brazil,Itabuna
-14.7072115,-75.1028786,Peru,Nazca
-14.7321173,132.037342,Australia,Katherine
-14.8686594,-47.4344536,Brazil,Formosa
-14.872537,-55.791153,Brazil,Cuiabá
-14.9145163,-46.958372,Brazil,Formosa
-14.9604446,-39.3086435,Brazil,Itabuna
-14.9745845,-49.0816316,Brazil,Goianésia
-14.9978254,-54.7663573,Brazil,Cuiabá
-15.0089118,-40.785671,Brazil,Vitória da Conquista
-15.0518882,-71.1291516,Peru,Ayaviri
-15.0667291,-57.173129,Brazil,Barra do Bugres
-15.0989459,143.753861,Australia,Port Douglas
